Matricula,Nome,CPF,Idade,Genero,EstadoCivil,PortadorNecessidadesEspeciais,PossuiCriancaMenorQue4anos,GrauEscolaridade,AreaFormacao,TreinamentoUltimoAno,Cargo,NivelCargo,AnosEmpresa,AnosCargoAtual,TipoProjeto,HorarioFlexivel,ViagemNegocios,OportunidadeUsarPlenamenteHabilidadesTrabalho,Departamento,AnosAtualGestor,Salario,PercepcaoValorBeneficios,AnosDesdeUltimaPromocao,RecebeuParticipacaoLucrosResultadosUltimos3anos,DistanciaCasa,TipoTransporte,ModalidadeTrabalho,SatisfacaoGestor,SatisfacaoRelacionamentoColegas,SatisfaçãoTrabalho,NívelEnvolvimentoTrabalho,AvaliacaoDesempenho,Absenteismo,HoraExtra,EquilíbrioEntreVidaProfissionalPessoal,Demitido
360,Antônio Duarte Almeida,980.060.902-46,43,Masculino,Casado,Não,Não,3,Ciência da Computação,1,Arquiteto(a) de Soluções,3,10,9,Sustentação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),9,7510,4,0,Não,11,Outro,Presencial,2,2,3,3,3,1,Não,3,Não
361,Jessica Almeida Pereira,878.177.921-60,40,Feminino,Casado,Sim,Não,3,Curso Técnico,2,Analista de QA,2,10,9,Inovação,Sim,Frequentemente_Viaja,4,Pesquisa e Desenvolvimento (P&D),4,7587.6,4,9,Não,11,Transporte público,Remoto,3,1,3,3,3,0,Não,4,Não
362,Caio Moreira Azevedo,032.266.388-15,55,Masculino,Casado,Não,Não,4,Recursos Humanos,0,Gerente de Projetos,5,10,9,Inovação,Sim,Raramente_Viaja,1,Recursos Humanos,4,19636,2,1,Não,26,Carro Próprio,Presencial,2,1,2,4,3,0,Sim,3,Não
363,Helena Santos Dias,283.787.155-90,44,Feminino,Casado,Não,Não,1,Ciência da Computação,5,Engenheiro(a) de Machine Learning,1,10,5,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),7,2614.3,3,7,Não,2,Carro Próprio,Remoto,3,4,4,4,3,0,Não,3,Não
364,Carlos Souza Borges,413.164.216-60,54,Masculino,Casado,Não,Não,3,Ciência da Computação,2,Diretor(a) de Tecnologia,4,10,9,Outros,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),9,23112.7,2,0,Não,3,Outro,Presencial,3,1,4,3,3,4,Não,3,Sim
365,Simone Araújo Cardoso,958.630.039-01,31,Feminino,Solteiro,Não,Não,3,Bioinformática,2,Arquiteto(a) de Soluções,2,10,9,Inovação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),8,8617.18,4,1,Não,24,Outro,Remoto,2,2,1,2,3,0,Não,3,Sim
366,Amanda Carvalho Borges,501.073.659-44,29,Feminino,Casado,Não,Não,3,Marketing,3,Executivo(a) de Contas,3,10,4,Outros,Não,Raramente_Viaja,3,Vendas,9,7639,3,1,Não,27,Outro,Presencial,4,4,4,3,4,0,Não,2,Não
367,Luiz Araújo Gomes,861.614.056-52,46,Masculino,Solteiro,Não,Não,2,Bioinformática,3,Executivo(a) de Contas,3,9,8,Outros,Não,Raramente_Viaja,3,Vendas,7,9619,3,4,Não,9,Outro,Presencial,4,4,4,2,3,0,Não,3,Sim
368,Diego Fernandes Vieira,383.238.847-81,49,Masculino,Casado,Não,Não,3,Bioinformática,3,Executivo(a) de Contas,2,9,6,Outros,Sim,Frequentemente_Viaja,3,Vendas,8,5390,2,0,Não,2,Outro,Presencial,1,4,2,2,3,0,Não,2,Sim
369,Luiz Ferreira Pereira,451.950.600-02,31,Masculino,Solteiro,Não,Não,3,Bioinformática,2,Diretor(a) de Operações,2,9,4,Outros,Não,Nao_Viaja,2,Pesquisa e Desenvolvimento (P&D),7,17884.8,2,1,Não,5,Outro,Presencial,1,2,1,3,3,0,Não,3,Não
370,Vitor Guimarães Ribeiro,945.210.765-05,27,Masculino,Casado,Não,Não,3,Ciência da Computação,3,Engenheiro(a) de Machine Learning,1,9,7,Inovação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),8,2905.5,2,6,Não,14,Transporte público,Remoto,2,4,1,3,3,0,Sim,2,Não
371,Francisco Soares Santos,388.122.171-92,53,Masculino,Solteiro,Não,Não,3,Bioinformática,2,Diretor(a) de Tecnologia,4,9,8,Outros,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),8,21577.4,4,8,Não,2,Carro Próprio,Presencial,2,2,2,4,3,0,Não,2,Não
372,Francisco Gomes Silva,345.768.925-33,41,Masculino,Divorciado,Não,Não,3,Ciência da Computação,2,Engenheiro(a) de Machine Learning,1,9,8,Sustentação,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,3186.3,1,1,Não,14,Transporte público,Presencial,2,1,3,3,3,0,Não,3,Não
373,Guilherme Oliveira Moreira,181.654.902-90,27,Masculino,Divorciado,Não,Não,2,Ciência da Computação,4,Diretor(a) de Operações,3,9,7,Outros,Sim,Frequentemente_Viaja,1,Pesquisa e Desenvolvimento (P&D),7,13189.5,2,1,Não,10,Carro Próprio,Presencial,2,3,1,3,4,0,Não,2,Sim
374,Sergio Pereira Moreira,786.600.531-17,40,Masculino,Divorciado,Sim,Não,1,Bioinformática,5,Diretor(a) de Tecnologia,3,9,8,Outros,Sim,Nao_Viaja,1,Pesquisa e Desenvolvimento (P&D),8,17884.1,3,4,Não,8,Transporte público,Remoto,2,3,2,2,3,0,Não,3,Não
375,José Viana Rodrigues,478.771.467-87,41,Masculino,Divorciado,Não,Não,1,Ciência da Computação,2,Executivo(a) de Contas,3,9,7,Outros,Sim,Raramente_Viaja,2,Vendas,7,8189,4,0,Não,9,Transporte público,Remoto,4,3,3,3,3,0,Sim,3,Não
376,André Araújo Soares,379.699.534-92,35,Masculino,Solteiro,Não,Não,4,Ciência da Computação,3,Engenheiro(a) de Machine Learning,2,9,6,Inovação,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),1,5523.7,2,1,Não,4,Outro,Remoto,2,2,3,3,3,0,Sim,3,Sim
377,Daniela Fernandes Rodrigues,678.249.507-43,35,Feminino,Casado,Não,Não,3,Bioinformática,0,Analista de QA,2,9,7,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),0,6435.6,1,0,Não,1,Carro Próprio,Remoto,3,2,4,2,3,2,Não,3,Não
378,Tatiane Campos Dias,154.591.430-39,32,Feminino,Solteiro,Não,Não,3,Marketing,2,Executivo(a) de Contas,3,9,8,Outros,Sim,Frequentemente_Viaja,4,Vendas,7,8998,2,3,Não,8,Transporte público,Presencial,3,4,4,3,3,0,Não,3,Não
379,Luciana Castro Cavalcanti,117.637.203-30,54,Feminino,Casado,Sim,Não,4,Ciência da Computação,4,Executivo(a) de Contas,3,9,4,Outros,Sim,Raramente_Viaja,2,Vendas,0,10686,4,7,Não,2,Transporte público,Remoto,3,2,3,2,3,0,Não,3,Não
380,Felipe Lima Oliveira,415.481.409-53,32,Masculino,Divorciado,Não,Não,3,Bioinformática,4,Engenheiro(a) de Machine Learning,2,9,5,Sustentação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),6,7111,4,1,Não,2,Carro Próprio,Remoto,2,3,2,3,3,3,Não,2,Não
381,Monica Cavalcanti Ferreira,379.978.447-08,47,Feminino,Solteiro,Não,Não,2,Ciência da Computação,0,Executivo(a) de Contas,2,9,0,Outros,Sim,Raramente_Viaja,3,Vendas,7,4163,4,0,Não,4,Outro,Remoto,4,3,4,3,3,0,Sim,3,Não
382,Sandra Castro Pires,822.080.974-40,31,Feminino,Casado,Sim,Não,2,Marketing,2,Executivo(a) de Contas,2,9,8,Outros,Sim,Nao_Viaja,3,Vendas,0,6932,3,0,Não,20,Transporte público,Remoto,3,4,3,3,3,3,Não,2,Não
383,Paulo Araújo Mendes,932.321.540-69,45,Masculino,Casado,Não,Não,2,Ciência da Computação,2,Analista de QA,2,9,8,Inovação,Sim,Nao_Viaja,2,Pesquisa e Desenvolvimento (P&D),8,4359.6,4,0,Não,23,Carro Próprio,Remoto,1,3,1,3,3,2,Sim,3,Não
384,Gabriel Barbosa Carvalho,488.483.780-05,32,Masculino,Casado,Não,Não,3,Bioinformática,3,Diretor(a) de Operações,2,9,8,Outros,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,11091.6,3,7,Não,1,Transporte público,Presencial,3,2,4,3,4,0,Sim,3,Não
385,Julia Azevedo Ferreira,485.176.110-47,36,Feminino,Casado,Não,Não,2,Curso Técnico,6,Executivo(a) de Contas,3,9,7,Outros,Sim,Frequentemente_Viaja,4,Vendas,8,9738,3,2,Não,11,Outro,Presencial,3,3,4,3,3,0,Não,3,Não
386,Breno Melo Siqueira,262.316.892-04,34,Masculino,Divorciado,Não,Não,3,Ciência da Computação,0,Arquiteto(a) de Soluções,3,9,7,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),6,8500,2,1,Não,9,Transporte público,Remoto,4,4,4,3,3,0,Não,2,Não
387,Leticia Cardoso Mendes,720.985.371-58,41,Feminino,Divorciado,Não,Não,3,Marketing,2,Executivo(a) de Contas,2,9,3,Sustentação,Sim,Frequentemente_Viaja,1,Vendas,7,4103,1,1,Não,1,Outro,Presencial,2,4,1,3,3,1,Não,3,Sim
388,Camila Guimarães Mendes,851.686.053-11,31,Feminino,Casado,Não,Não,3,Bioinformática,2,Arquiteto(a) de Soluções,2,9,7,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),5,7406.58,4,8,Não,12,Outro,Remoto,4,3,4,3,3,2,Sim,1,Não
389,Bruno Almeida Fernandes,490.924.739-44,40,Masculino,Divorciado,Não,Não,2,Curso Técnico,3,Engenheiro(a) de Machine Learning,2,9,8,Inovação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),7,4314.7,1,4,Não,24,Transporte público,Presencial,4,1,4,3,3,0,Não,3,Sim
390,Arthur Nascimento Duarte,317.790.033-74,40,Masculino,Solteiro,Não,Não,3,Ciência da Computação,4,Engenheiro(a) de Machine Learning,2,9,8,Sustentação,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,6059.3,4,8,Não,2,Transporte público,Remoto,4,3,4,3,3,0,Não,3,Não
391,Francisco Ramos Martins,608.049.520-19,54,Masculino,Casado,Não,Não,4,Bioinformática,1,Analista de RH,3,9,7,Outros,Não,Raramente_Viaja,3,Recursos Humanos,1,8580,1,7,Não,19,Transporte público,Presencial,2,3,2,3,3,0,Não,4,Não
392,Carla Lopes Cardoso,226.581.233-10,42,Feminino,Divorciado,Não,Não,3,Bioinformática,4,Analista de QA,1,9,6,Sustentação,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),8,3111.6,3,7,Não,2,Carro Próprio,Presencial,1,3,1,2,3,0,Sim,3,Sim
393,Gustavo Ribeiro Monteiro,136.143.233-07,37,Masculino,Divorciado,Não,Não,4,Marketing,2,SDR (Sales Development Representative),1,9,8,Outros,Não,Frequentemente_Viaja,4,Vendas,8,3351.6,1,5,Não,4,Outro,Presencial,4,3,4,3,3,2,Não,3,Não
394,Amanda Barbosa Silva,945.981.334-81,49,Feminino,Casado,Não,Não,4,Ciência da Computação,3,Analista de QA,1,9,6,Inovação,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),4,3853.2,3,1,Não,25,Carro Próprio,Remoto,1,4,1,3,3,3,Não,2,Não
395,Hugo Viana Barbosa,283.149.811-25,55,Masculino,Solteiro,Não,Não,1,Bioinformática,3,Gerente de Projetos,4,9,7,Sustentação,Não,Nao_Viaja,1,Pesquisa e Desenvolvimento (P&D),2,16756,4,6,Não,2,Carro Próprio,Presencial,1,2,1,2,3,0,Não,4,Não
396,Cristiane Lima Campos,192.515.298-76,30,Feminino,Casado,Não,Não,4,Bioinformática,2,Gerente de Projetos,3,9,1,Inovação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),8,11916,2,0,Não,17,Outro,Remoto,2,4,1,3,4,0,Sim,3,Não
397,Luana Melo Moraes,245.719.989-10,28,Feminino,Casado,Não,Não,3,Ciência da Computação,6,Analista de QA,2,9,8,Inovação,Sim,Nao_Viaja,4,Pesquisa e Desenvolvimento (P&D),5,8008.8,4,7,Não,1,Transporte público,Remoto,4,1,4,1,3,0,Não,3,Sim
398,Eduardo Siqueira Dias,025.614.573-38,52,Masculino,Casado,Não,Não,2,Ciência da Computação,2,Gerente de Projetos,4,9,8,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,17099,3,7,Não,1,Outro,Remoto,3,2,4,3,3,2,Não,2,Não
399,José Lopes Costa,762.262.762-31,27,Masculino,Solteiro,Não,Não,3,Ciência da Computação,0,Executivo(a) de Contas,3,9,8,Outros,Sim,Frequentemente_Viaja,2,Vendas,7,8726,1,1,Não,8,Outro,Presencial,2,4,3,3,3,0,Não,3,Não
400,Terezinha Teixeira Pereira,345.973.355-10,45,Feminino,Casado,Não,Não,2,Ciência da Computação,4,Gerente de Projetos,4,9,3,Sustentação,Sim,Raramente_Viaja,3,Vendas,1,17650,2,1,Não,11,Outro,Remoto,3,2,4,3,3,0,Não,4,Não
401,Pedro Cardoso Ferreira,735.985.087-86,39,Masculino,Casado,Não,Não,3,Ciência da Computação,2,Analista de QA,2,9,8,Sustentação,Sim,Nao_Viaja,4,Pesquisa e Desenvolvimento (P&D),8,7766.4,4,5,Não,1,Carro Próprio,Remoto,4,4,4,3,3,0,Sim,3,Não
402,Helena Pires Oliveira,672.366.365-92,30,Feminino,Solteiro,Não,Não,4,Curso Técnico,2,Engenheiro(a) de Machine Learning,1,9,7,Sustentação,Sim,Frequentemente_Viaja,2,Pesquisa e Desenvolvimento (P&D),7,6458.4,1,0,Não,2,Carro Próprio,Remoto,2,4,1,2,3,0,Não,3,Não
403,Fernanda Lopes Almeida,912.011.710-83,36,Feminino,Casado,Não,Não,4,Ciência da Computação,3,Analista de QA,2,9,8,Inovação,Sim,Nao_Viaja,1,Pesquisa e Desenvolvimento (P&D),8,6808.8,2,0,Não,24,Transporte público,Remoto,2,3,2,3,3,0,Não,3,Não
404,Theo Azevedo Peixoto,432.944.784-37,42,Masculino,Casado,Não,Não,4,Marketing,2,Executivo(a) de Contas,2,9,7,Outros,Sim,Raramente_Viaja,1,Vendas,2,6825,2,4,Não,8,Outro,Presencial,2,4,2,3,3,0,Não,3,Não
405,Thiago Lima Cunha,834.604.228-07,33,Masculino,Divorciado,Não,Não,3,Curso Técnico,2,Engenheiro(a) de Machine Learning,2,9,8,Sustentação,Sim,Nao_Viaja,3,Pesquisa e Desenvolvimento (P&D),7,3971.5,4,1,Não,4,Transporte público,Remoto,3,4,2,3,3,0,Não,2,Sim
406,Paulo Silva Pereira,555.656.687-94,43,Masculino,Solteiro,Não,Não,3,Ciência da Computação,5,Analista de RH,1,9,7,Outros,Sim,Raramente_Viaja,3,Recursos Humanos,8,3539,1,1,Não,2,Carro Próprio,Presencial,3,2,4,3,3,4,Não,3,Sim
407,Leandro Pereira Oliveira,438.908.942-08,38,Masculino,Solteiro,Não,Não,3,Ciência da Computação,2,Diretor(a) de Operações,3,9,7,Sustentação,Não,Frequentemente_Viaja,4,Pesquisa e Desenvolvimento (P&D),8,14289,1,1,Não,23,Outro,Presencial,4,2,3,2,4,0,Não,3,Sim
408,Vera Santos Siqueira,115.511.232-66,43,Feminino,Divorciado,Sim,Não,4,Ciência da Computação,3,Analista de QA,2,9,7,Sustentação,Sim,Frequentemente_Viaja,4,Pesquisa e Desenvolvimento (P&D),0,6308.4,2,0,Não,10,Outro,Remoto,4,2,3,2,3,0,Não,4,Não
409,Murilo Melo Siqueira,856.695.462-96,45,Masculino,Casado,Não,Não,2,Ciência da Computação,5,Analista de QA,2,9,7,Inovação,Sim,Nao_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,5336.4,4,0,Não,4,Carro Próprio,Remoto,2,2,2,3,3,0,Não,2,Não
410,Pedro Pires Silva,435.561.477-85,35,Masculino,Casado,Não,Não,5,Ciência da Computação,3,Executivo(a) de Contas,3,9,8,Outros,Não,Frequentemente_Viaja,2,Vendas,8,9069,4,1,Não,18,Transporte público,Presencial,1,4,1,3,4,0,Não,2,Não
411,Felipe Correia Duarte,725.739.281-10,55,Masculino,Solteiro,Não,Não,1,Bioinformática,3,Executivo(a) de Contas,2,9,7,Outros,Não,Raramente_Viaja,3,Vendas,3,5160,3,7,Não,2,Outro,Presencial,3,3,4,3,3,0,Não,2,Não
412,Rita Castro Melo,439.092.375-76,49,Feminino,Casado,Não,Não,3,Marketing,3,Executivo(a) de Contas,3,9,8,Inovação,Não,Raramente_Viaja,3,Vendas,7,7654,3,7,Não,11,Outro,Remoto,3,1,4,3,3,2,Não,4,Não
413,André Pires Ferreira,961.577.166-06,34,Masculino,Solteiro,Não,Não,4,Marketing,2,Executivo(a) de Contas,2,9,5,Inovação,Não,Nao_Viaja,3,Vendas,7,4568,1,8,Não,23,Transporte público,Remoto,4,3,3,3,4,2,Não,3,Não
414,Bernardo Cardoso Soares,264.745.763-83,46,Masculino,Solteiro,Não,Não,4,Marketing,4,Executivo(a) de Contas,2,9,6,Inovação,Não,Frequentemente_Viaja,3,Vendas,8,5772,4,0,Não,5,Carro Próprio,Remoto,4,3,4,3,4,1,Sim,3,Não
415,Silvia Moraes Siqueira,590.619.270-05,39,Feminino,Solteiro,Não,Não,3,Bioinformática,2,Diretor(a) de Operações,2,9,2,Outros,Sim,Frequentemente_Viaja,2,Pesquisa e Desenvolvimento (P&D),8,9075.6,4,3,Não,4,Transporte público,Presencial,3,4,3,3,3,0,Não,1,Sim
416,Mateus Andrade Soares,163.733.625-07,31,Masculino,Casado,Não,Não,3,Bioinformática,2,Arquiteto(a) de Soluções,2,9,0,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,7061.23,1,7,Não,23,Transporte público,Remoto,3,2,4,2,4,0,Não,3,Sim
417,André Dias Vieira,267.290.025-65,27,Masculino,Divorciado,Não,Não,1,Curso Técnico,3,Diretor(a) de Tecnologia,3,9,8,Outros,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),8,16650.4,2,0,Não,5,Carro Próprio,Remoto,4,2,4,2,3,0,Sim,3,Não
418,Mateus Monteiro Bastos,103.355.348-48,33,Masculino,Divorciado,Não,Não,3,Bioinformática,5,Executivo(a) de Contas,2,9,8,Outros,Sim,Raramente_Viaja,2,Vendas,8,4037,2,0,Não,1,Transporte público,Remoto,2,1,1,4,4,0,Não,3,Não
419,Helena Campos Melo,051.659.310-21,46,Feminino,Casado,Não,Não,2,Bioinformática,2,Arquiteto(a) de Soluções,2,9,7,Sustentação,Sim,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),7,11291.39,3,3,Não,21,Carro Próprio,Remoto,2,4,2,3,4,0,Não,4,Não
420,Murilo Monteiro Soares,312.023.712-48,38,Masculino,Casado,Não,Não,3,Ciência da Computação,3,Executivo(a) de Contas,2,9,8,Outros,Sim,Raramente_Viaja,2,Vendas,7,9924,3,7,Não,14,Transporte público,Presencial,2,4,2,3,3,0,Não,3,Sim
421,Rafael Gomes Viana,836.095.291-48,49,Masculino,Casado,Não,Não,4,Curso Técnico,3,Executivo(a) de Contas,4,9,8,Outros,Sim,Raramente_Viaja,2,Vendas,3,13120,2,2,Não,8,Transporte público,Presencial,1,2,2,2,3,0,Não,3,Não
422,Eduardo Moraes Azevedo,611.209.314-60,34,Masculino,Divorciado,Não,Não,4,Ciência da Computação,3,Diretor(a) de Operações,2,9,7,Outros,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),2,8503.2,3,7,Não,10,Outro,Presencial,4,1,4,4,3,2,Não,3,Não
423,Aline Souza Miranda,862.753.904-92,29,Feminino,Solteiro,Não,Não,2,Ciência da Computação,3,Analista de QA,2,9,5,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,5031.6,3,0,Não,15,Carro Próprio,Remoto,3,4,3,2,3,0,Sim,3,Não
424,Isabela Guimarães Bastos,468.483.975-39,30,Feminino,Casado,Não,Não,3,Curso Técnico,6,Analista de QA,2,9,2,Sustentação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),7,5552.4,4,6,Não,6,Carro Próprio,Remoto,4,1,4,2,3,2,Não,3,Sim
425,Marcelo Dias Soares,953.381.056-40,37,Masculino,Divorciado,Não,Não,4,Bioinformática,6,Executivo(a) de Contas,3,9,5,Outros,Não,Nao_Viaja,3,Vendas,7,8834,2,7,Não,9,Carro Próprio,Presencial,1,4,2,3,3,1,Não,3,Não
426,Antônio Ramos Moreira,319.534.663-03,33,Masculino,Divorciado,Não,Não,5,Marketing,3,Executivo(a) de Contas,3,9,8,Inovação,Não,Raramente_Viaja,2,Vendas,8,8380,1,0,Não,10,Transporte público,Remoto,4,4,3,4,3,3,Sim,3,Não
427,Manoel Almeida Soares,411.427.591-64,46,Masculino,Divorciado,Não,Não,2,Ciência da Computação,4,Diretor(a) de Operações,3,9,8,Outros,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),7,12867,4,4,Não,2,Carro Próprio,Presencial,4,3,4,3,3,0,Não,2,Não
428,Antônia Dias Peixoto,168.997.422-25,48,Feminino,Casado,Não,Não,2,Bioinformática,3,SDR (Sales Development Representative),1,9,7,Inovação,Não,Frequentemente_Viaja,2,Vendas,7,3186,3,7,Não,7,Carro Próprio,Remoto,4,3,3,3,3,0,Sim,3,Não
429,Monica Nascimento Silva,169.520.619-32,27,Feminino,Casado,Não,Não,1,Bioinformática,5,SDR (Sales Development Representative),2,9,8,Outros,Sim,Raramente_Viaja,3,Vendas,8,4248,4,5,Não,23,Outro,Presencial,4,4,3,2,4,1,Não,3,Não
430,Sueli Peixoto Vieira,467.450.583-67,58,Feminino,Casado,Não,Não,3,Bioinformática,3,Diretor(a) de Tecnologia,5,9,8,Outros,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),5,25611.3,2,1,Não,1,Carro Próprio,Presencial,1,3,1,3,4,3,Sim,3,Sim
431,Paulo Vieira Peixoto,067.293.908-83,29,Masculino,Solteiro,Não,Não,4,Curso Técnico,2,Engenheiro(a) de Machine Learning,1,9,7,Sustentação,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),7,3070.6,3,0,Não,1,Carro Próprio,Remoto,2,3,1,2,3,0,Não,1,Sim
432,Sandra Peixoto Bastos,984.788.281-92,45,Feminino,Casado,Não,Não,2,Ciência da Computação,2,Diretor(a) de Operações,2,9,8,Outros,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,10630.8,2,3,Não,25,Outro,Presencial,4,4,4,2,3,0,Não,2,Sim
433,Silvia Almeida Azevedo,215.473.761-71,48,Feminino,Casado,Não,Não,5,Marketing,2,Executivo(a) de Contas,2,9,7,Outros,Sim,Raramente_Viaja,4,Vendas,7,4051,1,6,Não,2,Transporte público,Remoto,3,1,4,3,3,0,Não,3,Não
434,Carla Rodrigues Dias,924.406.626-23,28,Feminino,Divorciado,Não,Sim,3,Bioinformática,3,Diretor(a) de Operações,3,9,7,Outros,Não,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),7,11482.5,1,1,Não,3,Carro Próprio,Remoto,3,2,2,3,3,0,Não,2,Não
435,Helena Freitas Cardoso,470.964.948-04,33,Feminino,Casado,Não,Não,2,Bioinformática,6,Arquiteto(a) de Soluções,2,9,7,Inovação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),1,6170.67,2,8,Não,15,Carro Próprio,Remoto,4,1,4,3,3,0,Sim,3,Não
436,Gabriela Silva Santos,972.069.148-45,33,Feminino,Casado,Não,Não,2,Ciência da Computação,3,Analista de QA,1,9,7,Sustentação,Não,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),7,3248.4,2,1,Não,2,Transporte público,Remoto,2,1,1,3,4,0,Não,4,Não
437,Marcos Rodrigues Castro,023.936.830-46,34,Masculino,Solteiro,Não,Não,3,Ciência da Computação,3,Analista de QA,2,9,7,Sustentação,Não,Frequentemente_Viaja,4,Pesquisa e Desenvolvimento (P&D),6,7288.8,4,0,Não,7,Carro Próprio,Presencial,3,4,3,1,4,0,Sim,3,Sim
438,Marta Nascimento Cunha,582.023.166-00,36,Feminino,Casado,Não,Não,3,Bioinformática,2,Executivo(a) de Contas,3,9,7,Outros,Sim,Raramente_Viaja,4,Vendas,4,7644,3,3,Não,3,Outro,Presencial,4,3,4,2,3,0,Não,3,Não
439,Rodrigo Moreira Rocha,607.362.056-08,59,Masculino,Solteiro,Não,Não,4,Bioinformática,6,Diretor(a) de Operações,3,9,7,Outros,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),4,15768,1,5,Não,18,Carro Próprio,Remoto,3,4,4,3,3,1,Não,2,Não
440,Cristiane Viana Gomes,079.256.779-02,27,Feminino,Casado,Não,Não,2,Ciência da Computação,3,Diretor(a) de Operações,3,9,7,Outros,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),7,11118,3,0,Não,1,Transporte público,Presencial,1,4,1,3,3,4,Não,3,Não
441,Isabel Vieira Azevedo,831.589.153-75,38,Feminino,Solteiro,Sim,Não,4,Ciência da Computação,4,Arquiteto(a) de Soluções,2,9,7,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,9645.62,4,1,Não,1,Carro Próprio,Remoto,3,3,4,4,3,0,Não,2,Sim
442,Jessica Borges Gomes,236.007.394-09,30,Feminino,Casado,Sim,Sim,4,Outros ,3,Executivo(a) de Contas,3,9,8,Sustentação,Sim,Nao_Viaja,2,Vendas,8,8412,4,7,Não,22,Outro,Presencial,2,3,1,3,3,0,Não,3,Sim
443,Guilherme Gomes Cunha,897.851.519-30,52,Masculino,Divorciado,Não,Não,4,Ciência da Computação,3,SDR (Sales Development Representative),1,9,8,Inovação,Sim,Nao_Viaja,4,Vendas,0,4178.4,2,0,Não,29,Outro,Remoto,4,2,4,3,3,0,Não,2,Não
444,Bruna Andrade Peixoto,052.436.259-90,35,Feminino,Solteiro,Não,Não,4,Ciência da Computação,2,Analista de RH,3,9,0,Sustentação,Sim,Raramente_Viaja,3,Recursos Humanos,7,7069.6,2,1,Não,26,Carro Próprio,Presencial,3,3,4,3,3,2,Sim,3,Sim
445,Ana Duarte Santos,225.089.068-40,52,Feminino,Casado,Não,Não,4,Bioinformática,3,Diretor(a) de Operações,4,9,8,Inovação,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),0,20739,3,0,Não,25,Transporte público,Remoto,4,3,4,2,4,0,Não,3,Não
446,Renata Ferreira Monteiro,539.075.985-04,36,Feminino,Casado,Não,Não,3,Outros ,2,Diretor(a) de Operações,2,9,7,Outros,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),5,9410.4,2,0,Não,1,Carro Próprio,Presencial,2,1,2,3,3,1,Não,3,Não
447,Vinicius Peixoto Pereira,103.976.286-76,33,Masculino,Divorciado,Não,Não,2,Ciência da Computação,2,Arquiteto(a) de Soluções,2,9,7,Inovação,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,7549.52,1,2,Não,7,Outro,Remoto,3,3,3,3,4,2,Não,3,Não
448,Miguel Lopes Ramos,199.510.946-00,42,Masculino,Casado,Não,Não,3,Ciência da Computação,3,Diretor(a) de Operações,2,9,8,Outros,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,7981.2,3,7,Não,29,Transporte público,Remoto,2,4,2,3,3,0,Não,2,Sim
